time,marseille_blh,marseille_d2m,marseille_skt,marseille_sp,marseille_ssrd,marseille_t2m,marseille_tcc,marseille_tp,marseille_u10,marseille_v10,brest_blh,brest_d2m,brest_skt,brest_sp,brest_ssrd,brest_t2m,brest_tcc,brest_tp,brest_u10,brest_v10,london_blh,london_d2m,london_skt,london_sp,london_ssrd,london_t2m,london_tcc,london_tp,london_u10,london_v10,berlin_blh,berlin_d2m,berlin_skt,berlin_sp,berlin_ssrd,berlin_t2m,berlin_tcc,berlin_tp,berlin_u10,berlin_v10
2007-01-01,400.96484,281.92557,282.8859,100524.49,4552896.0,284.19437,0.8075549,0.0,2.04062,-0.56765556,1479.2695,277.88065,282.3586,101728.16,1667456.0,283.09686,0.5499204,0.0068559647,10.269584,-0.9354534,1135.3893,276.90393,279.19846,100560.74,3879936.0,280.18686,0.58655167,0.0010690689,6.2004104,1.6768513,1314.7748,277.41696,279.90787,100125.99,2664768.0,281.23422,0.7665227,0.0032334328,6.347383,2.7359333
2007-01-02,1437.167,274.2966,281.27835,100408.125,7507520.0,282.68512,0.1691653,0.0,6.2704678,-5.1004047,1143.6982,279.00418,282.47855,102739.29,2961152.0,283.24167,0.8004125,0.0005159378,6.995972,-3.0540993,1109.8961,275.6904,278.15732,101536.71,3453568.0,279.5562,0.4530487,0.0,6.205608,-0.9306863,929.40656,274.99866,276.93597,100612.79,1774912.0,277.95245,0.94175977,0.0014357567,5.2460537,1.5568218
2007-01-03,522.6307,274.81277,279.8743,100480.56,7665792.0,280.76715,0.1633466,0.0,2.572366,-4.23688,974.62286,281.90775,283.956,102065.06,2535296.0,284.75705,0.95078915,0.0027828217,5.509093,6.3744073,903.9875,280.22787,281.17093,101371.06,1135936.0,282.06314,0.97033566,0.0013332367,4.573709,5.02195,838.6828,276.31805,277.5731,101441.27,2104896.0,278.382,0.9034106,0.0020561218,4.9369903,0.80816394
2007-01-04,423.87463,276.69943,281.345,99866.98,7193728.0,281.3287,0.5160713,0.0,3.3517838,-2.3167965,1045.4867,280.9815,283.49832,101570.15,3144960.0,284.3244,0.7874095,0.00040388107,7.0699234,-1.3757566,1035.557,278.92715,280.89035,100439.35,3758528.0,282.36127,0.50104016,0.0,6.422503,1.0254072,930.2132,277.82175,278.8071,100030.52,881920.0,279.84256,0.9533043,0.004189968,4.695778,3.9257572
2007-01-05,613.9233,276.63138,281.25977,99756.19,7480576.0,282.42966,0.34657797,0.0,3.697129,-5.28173,679.4337,284.09753,284.28897,101648.94,1863424.0,285.32336,0.88439304,0.0031280518,5.2907977,3.1930015,701.5327,280.61185,281.28336,100966.94,1885952.0,282.23093,0.9379552,0.0001411438,4.2335467,2.5585206,1009.6473,278.25443,279.3723,100497.56,2294528.0,280.45145,0.8921903,0.002579689,6.2049413,0.64441746
2007-01-06,152.43388,275.80652,279.69113,100081.76,7423424.0,280.3013,0.1070137,0.0,0.21189435,-0.8653323,811.55634,282.66418,283.67105,101295.805,2833088.0,284.4766,0.77682495,0.001987934,5.5606494,2.5152423,421.65524,279.08093,279.32257,100672.63,640128.0,279.87814,0.9324023,0.011351585,2.1056118,1.354435,527.913,279.7407,280.35187,100852.84,294592.0,281.15027,1.0,0.0048880577,3.013408,1.5167885
2007-01-07,138.09764,278.72818,280.38815,99895.79,6887104.0,281.37656,0.5555496,0.0,1.0201715,-1.0599378,1184.5065,281.64655,283.80603,100738.586,2473728.0,284.6298,0.95903397,0.007104397,6.584869,6.878254,1062.9127,280.5571,281.18372,100176.164,2491008.0,282.45493,0.93739444,0.0023217201,4.105987,6.2444243,460.94662,277.68765,278.91214,100712.75,2370880.0,279.21045,0.90450794,0.009088993,2.3070366,1.0944811
2007-01-08,258.26944,280.9893,282.33405,99538.12,5926080.0,282.7471,0.7745476,0.0014915466,1.4738318,-0.5371507,1032.1678,283.8384,284.41135,100141.03,818560.0,285.40433,0.9321594,0.003993988,8.302445,3.4152825,930.1236,281.19638,281.63663,99186.87,1596800.0,282.71405,0.8254954,0.0035471916,4.7689166,4.1428623,761.06635,277.5727,279.4785,100098.91,2238144.0,280.26547,0.9601504,0.00018072128,2.396073,3.9782302
2007-01-09,271.05795,282.37784,283.71323,99754.055,7317184.0,284.64838,0.42430243,0.0,1.1439203,-0.897665,1230.9642,284.2088,284.99408,100485.22,4072384.0,286.03696,0.84274167,0.0038938522,7.910766,8.898478,1376.6986,282.61758,284.99222,99615.51,2154688.0,285.70316,0.98177975,6.1035156e-05,6.9000645,6.860107,1120.0293,280.65225,282.9927,100192.97,812096.0,284.0688,0.9330546,0.00049066544,4.388061,3.5926507
2007-01-10,285.70224,281.66245,283.29712,100194.82,6659392.0,283.837,0.56128436,0.0,-3.2733567,1.1253332,1008.95483,279.78378,283.40665,101199.57,4691200.0,283.6623,0.7131233,0.008632183,5.865234,1.790535,1125.507,279.1675,281.2667,100308.66,2770816.0,282.1955,0.7018776,0.008721828,5.6706944,3.4492671,1153.7205,279.52133,283.89297,100530.945,2372928.0,285.0543,0.93825275,0.001478672,4.835652,4.6083245
2007-01-11,435.02487,279.5891,282.60294,100308.77,7876928.0,283.92264,0.6102422,0.0,3.9591293,-2.6678379,1251.4623,281.46036,284.2067,101783.1,1916352.0,284.7433,0.8409564,0.0009198189,9.882062,3.044402,1624.6212,278.31534,281.59592,100283.31,1292608.0,282.82336,0.66819257,0.0019245148,8.65078,3.9726245,1430.6317,275.5179,278.86618,100054.06,1002560.0,279.68567,0.8261846,0.005678177,7.155744,3.544239
2007-01-12,732.78125,277.76505,283.8023,100142.78,8017856.0,285.80978,0.17260106,0.0,5.7667255,-4.9016557,781.7292,283.76822,284.55728,102328.32,2221440.0,285.02933,0.8731677,0.00019741058,6.3598247,2.3677533,967.10156,280.48203,282.24445,101253.41,1482240.0,283.46448,0.83364105,0.00010585785,6.754356,3.3048465,1504.4427,276.66675,279.95547,100397.37,3366976.0,280.98132,0.69362,0.002336502,8.069297,1.169267
2007-01-13,149.86572,279.0084,281.85,100147.27,7612352.0,282.6118,0.14585622,0.0,-1.2506815,-0.34547105,932.51416,282.6486,284.27618,101788.31,2865984.0,284.48044,0.85100174,0.0006761551,5.683767,3.6584759,1173.2095,281.31714,283.3626,100973.4,1612544.0,283.8503,0.904349,0.00015640259,5.6847024,3.968331,1410.4777,280.36002,283.20245,100775.19,1260160.0,284.20035,0.9282252,0.0009212494,6.6462097,1.0292848
2007-01-14,191.7177,279.80325,281.89127,100200.445,8093248.0,282.78806,0.7089856,0.0,0.72360164,-1.7333603,454.64737,278.28226,281.57443,102483.78,4594304.0,281.53214,0.5471522,0.0,0.95110005,1.6624731,676.5771,275.84216,278.4719,101976.78,4236352.0,279.41754,0.26393127,0.0,3.7540786,1.9964981,1459.7124,275.7759,280.51627,101298.12,3399040.0,281.27457,0.44119516,0.0008134842,7.236053,1.3415502
2007-01-15,480.2659,280.87906,282.95883,100307.18,5978944.0,283.49393,0.98276645,0.0,-3.1374328,0.5782153,576.15656,281.05273,283.04257,101781.97,4059264.0,283.16135,0.9219348,0.0,1.7754091,4.6392913,626.2555,278.07486,280.2741,101475.47,3398464.0,280.6444,0.74577206,0.0,2.4998558,4.3635345,599.66693,274.31046,277.24716,101951.01,3767424.0,277.2004,0.41137186,0.0,3.5563335,2.3192227
2007-01-16,429.72958,281.40637,283.0549,100087.26,3607808.0,283.91522,0.8268725,0.0007519722,-2.7133267,1.7122027,742.36237,283.2842,284.2595,101033.13,3663872.0,284.9329,0.72685623,0.0025610924,3.846569,6.2530556,768.2139,282.33524,282.73743,100643.51,479872.0,283.26785,0.98062134,0.0026388168,2.9636345,4.818933,429.47958,274.6161,277.34036,101318.26,1367104.0,276.85776,0.9591649,0.0006489754,2.9313266,2.8320758
2007-01-17,206.80493,280.8143,282.61514,100114.43,7048960.0,282.99887,0.56727725,0.0,0.42960358,-0.6836796,1000.6513,283.24985,284.3087,100511.93,2684992.0,285.05478,0.9938672,0.019307137,5.985349,5.5213985,1179.7502,280.14005,281.56714,99853.47,1464192.0,282.55746,0.91297406,0.0077900887,4.7985,4.762813,781.081,278.3881,280.17935,100683.51,2382016.0,280.74066,0.8958931,0.0012722015,3.0522435,4.263586
2007-01-18,237.32607,280.93228,282.15503,100090.85,6233856.0,282.77307,0.8327904,0.0,1.5264664,-1.0763365,1345.2428,284.85986,285.48193,100356.4,1191808.0,286.4443,1.0,0.0036416054,11.65049,5.5144024,1791.9171,280.65396,283.22714,98716.44,1670784.0,284.1571,0.92932385,0.006321907,9.276588,4.244993,1477.378,279.698,281.1622,98455.77,349504.0,282.30148,0.93952054,0.023182392,6.509458,3.6569397
2007-01-19,832.11383,282.0352,285.14224,99933.75,8547008.0,287.79526,0.34688187,0.0,6.479156,-3.7272518,926.5019,284.99158,285.36597,101602.375,2983040.0,286.2242,0.99470264,0.0009799004,7.943186,4.315554,1199.9419,282.15564,284.25552,100489.71,4146112.0,284.8788,0.84363556,0.00036144257,6.7772517,2.3955104,1454.7153,276.79715,279.19766,99581.086,1748224.0,280.10684,0.65002185,0.0030264854,7.720611,-1.3950983
2007-01-20,225.3553,281.2942,283.6735,99706.37,8617472.0,285.452,0.22737503,0.0,2.73279,-2.5402305,1243.6288,280.5634,283.69907,101329.87,3590208.0,284.1757,0.7856242,0.0028367043,8.599123,2.8603637,1370.3475,278.55542,281.808,100262.32,4632064.0,282.55795,0.5242335,0.002151966,6.739748,4.095471,1125.1938,279.02872,280.92398,100208.66,560704.0,281.91885,0.87159604,0.0063033104,5.2551694,2.1976032
