time,paris_blh,paris_d2m,paris_skt,paris_sp,paris_ssrd,paris_t2m,paris_tcc,paris_tp,paris_u10,paris_v10
2007-01-01,1255.306,279.1908,281.01422,100779.66,190045.33,282.61826,0.6996155,0.00030229488,5.8777375,2.6404743
2007-01-02,1107.2191,276.80692,277.9366,101451.664,120370.664,279.62912,0.5046552,6.0041744e-05,5.6722827,-0.9994933
2007-01-03,529.73224,277.91946,279.24457,101712.27,115645.336,279.5594,0.8547821,0.0,2.778258,3.2627537
2007-01-04,989.1794,279.88263,281.36755,100583.98,146632.0,282.3887,0.76642734,6.9856644e-05,5.214251,1.5079511
2007-01-05,656.5379,280.92395,281.9934,101092.98,120157.336,283.0486,0.9328397,4.7345955e-05,3.8527687,2.7454917
2007-01-06,786.1657,283.21008,283.19415,100732.68,29538.666,284.44626,0.9762141,0.00017595291,3.999899,3.677311
2007-01-07,819.04816,279.2647,281.09363,100645.086,92130.664,281.3295,0.9666049,0.0,2.6323948,4.1025376
2007-01-08,978.2512,282.27557,283.05133,99617.91,113605.336,284.05453,0.9692116,0.00027986369,4.480261,4.583658
2007-01-09,1056.6647,283.0317,284.37332,100314.76,103629.336,285.74637,0.85795975,3.0398369e-06,4.585693,4.553629
2007-01-10,714.01996,280.5198,281.6792,100673.945,98160.0,282.68167,0.72760135,4.6253204e-05,3.3545322,3.3734207
2007-01-11,1023.6967,278.72177,280.04425,100981.77,121226.664,281.03918,0.88252383,7.045269e-05,5.760765,3.8555183
2007-01-12,769.4583,280.9265,282.23395,101582.66,182346.67,283.0807,0.7818858,0.0,4.633099,2.111121
2007-01-13,874.4777,282.3497,283.5366,101283.85,65080.0,283.93707,0.98841095,9.934108e-06,3.3734639,2.9785035
2007-01-14,417.80362,277.82834,280.07687,101868.07,231026.67,280.3521,0.54913455,0.0,1.3660984,0.6268692
2007-01-15,233.02373,276.5673,279.25125,101459.555,165237.33,278.20657,0.9166387,0.0,-0.3082498,2.4215991
2007-01-16,406.59155,279.291,280.68094,100854.51,118309.336,280.57968,0.9983342,0.000107983746,0.8244336,3.357629
2007-01-17,1095.1461,282.79468,283.4059,100335.18,68869.336,284.42123,0.99271774,0.000348866,4.4600806,5.8985143
2007-01-18,1533.1854,284.85294,285.1775,99585.6,23992.0,286.59738,1.0,0.0002399683,8.140073,5.5136294
2007-01-19,1161.9445,284.62936,285.3334,100828.414,65544.0,286.7042,1.0,2.3643177e-06,5.9487195,2.8518498
2007-01-20,1001.37354,282.1648,283.46582,100676.78,108669.336,284.57422,0.9657733,0.00014777978,5.3144956,3.1050332
2007-01-21,914.29803,276.51422,278.96127,100579.47,240042.67,279.8264,0.5035591,1.1841456e-05,4.998963,2.4687932
2007-01-22,369.19583,275.7577,277.17654,100203.055,161234.67,277.23654,0.99810535,1.5060107e-05,-1.1210842,-0.2366473
2007-01-23,955.96875,265.93216,273.5799,99883.96,135096.0,274.1253,0.8568878,1.0112922e-05,-2.7365143,-7.115259
2007-01-24,395.1006,271.96216,272.85703,99785.414,178466.67,273.45447,0.7868741,3.3775967e-05,0.49523735,-2.302887
2007-01-25,681.0184,268.1948,270.91486,100848.43,233565.33,271.38123,0.40364838,0.0,-2.7672966,-3.658533
2007-01-26,301.98038,268.93436,272.01376,101339.99,269381.34,271.84247,0.42475763,2.5431316e-06,1.6950989,-0.07455953
2007-01-27,285.25644,274.7285,275.59048,101933.68,229733.33,276.47412,0.5818596,0.0,2.0537453,-0.97182083
2007-01-28,457.63052,275.2704,275.86926,101975.75,146466.67,277.2091,0.7236023,0.0,3.2582207,0.27135977
2007-01-29,203.49591,277.7247,279.07608,101447.836,116365.336,279.42856,0.94798917,0.0,0.7407017,-0.89614296
2007-01-30,357.93112,278.12125,279.8928,101315.75,123938.664,279.8959,0.986777,0.0,-1.5355186,-1.5567652
2007-01-31,328.72525,277.33817,279.1419,101291.19,139325.33,279.7899,0.88917035,5.5631003e-06,1.4008299,-0.6583061
2007-02-01,203.28741,280.01025,280.69614,101678.26,91909.336,281.37582,0.9994176,0.0,1.0527344,-1.3256937
2007-02-02,275.76437,281.2313,281.54587,101961.805,83512.0,282.16287,0.9984525,0.0,-0.34634462,-2.1626236
2007-02-03,653.4756,276.07382,279.373,102219.41,310144.0,279.53128,0.37099838,0.0,-3.60256,-3.4618766
2007-02-04,354.63623,275.03348,277.3235,101490.66,338994.66,277.71854,0.040706635,0.0,-2.1901455,-0.9436703
2007-02-05,335.12204,276.03946,277.4727,100482.73,98122.664,277.89047,0.8973834,2.2510687e-05,1.5945917,0.560962
2007-02-06,268.3439,276.3818,277.2623,99415.195,184994.67,277.62302,0.96441144,5.2074593e-05,0.67422485,0.27626228
2007-02-07,340.0457,273.29102,274.3135,98776.27,116914.664,274.54358,0.9723625,0.00015634298,-2.454284,-1.8998235
2007-02-08,895.91364,276.26923,278.5234,98215.79,294530.66,279.11118,0.6463979,0.00023206075,3.220761,3.3835099
2007-02-09,318.58224,277.48508,278.0089,99022.09,221381.33,278.98972,0.86350125,5.934636e-05,0.097865425,2.7962017
2007-02-10,748.71924,279.10965,280.16183,99058.96,250986.67,281.45633,0.8318494,0.00022488832,2.3846042,3.8069923
2007-02-11,1378.9034,279.72806,282.17502,98845.48,297586.66,283.40332,0.838885,0.00038065514,5.0534267,4.622873
2007-02-12,1333.1729,279.40128,281.8895,98447.055,324912.0,282.6968,0.7275861,0.0002807776,6.3844285,4.196005
2007-02-13,1047.3885,277.67505,281.1894,99842.02,283458.66,281.7181,0.8831571,7.3313713e-06,4.0761642,2.1918259
2007-02-14,726.07697,279.70407,280.5662,99187.76,54013.332,281.2195,0.939017,0.000767231,2.0784874,1.626742
2007-02-15,294.71017,275.6331,277.8716,100880.85,436845.34,278.59708,0.49895224,0.0,-0.61941844,2.473817
2007-02-16,297.3997,275.58783,280.27713,100044.66,324602.66,280.3105,0.893603,0.0,-2.9733074,2.742936
2007-02-17,274.09738,276.31186,281.78345,99824.91,382725.34,283.02164,0.8239072,0.0,0.21492195,1.8429769
2007-02-18,167.10608,279.33505,281.2266,100361.18,437064.0,281.78424,0.4424604,0.0,-0.06925837,-1.1466007
2007-02-19,299.06506,278.7498,280.63794,100077.02,203098.67,280.3874,0.9735858,0.0,-0.22007687,2.2315376
2007-02-20,305.28384,278.74048,281.8241,99695.72,423397.34,281.32678,0.9296112,0.0,-0.42046228,2.019476
2007-02-21,515.46075,278.9646,280.94147,99909.76,301853.34,282.18582,0.79430646,6.0498714e-05,1.9980291,2.5405624
2007-02-22,486.93457,278.41995,280.4488,99723.72,259501.33,280.66907,0.86742276,3.3438206e-05,0.4413179,4.1704483
2007-02-23,699.1553,280.19662,281.55704,99331.85,299298.66,282.39734,0.6084607,1.8934408e-05,1.0607014,5.071984
2007-02-24,1060.718,280.7266,282.54608,98842.02,334312.0,283.40207,0.86768085,0.000237902,3.910101,4.6598535
2007-02-25,1030.4906,279.08545,280.64227,98822.4,288000.0,281.45175,0.8364499,0.00024453798,5.5310497,1.950388
2007-02-26,925.07324,278.8759,280.7396,100201.27,325144.0,281.4721,0.778848,8.6406864e-05,4.7270236,-1.5616487
2007-02-27,638.12286,280.60046,281.04532,100266.24,90325.336,281.9327,0.99027634,0.00013043483,3.6617126,3.5788047
2007-02-28,1368.5192,280.81375,283.2934,99230.96,357245.34,284.41916,0.8702049,5.8909256e-05,6.529712,4.2250333
2007-03-01,1257.8444,279.5029,282.1277,98728.43,335864.0,283.212,0.8801753,0.00020092726,6.13856,2.194664
2007-03-02,693.61176,278.86435,280.591,99474.04,323469.34,281.119,0.74389523,0.0002220869,2.3140323,2.616045
2007-03-03,1104.9342,279.18326,282.25998,99804.87,402213.34,283.66858,0.7141609,3.5266083e-05,5.5621943,1.5009607
2007-03-04,502.93497,280.09824,283.0609,100059.51,429866.66,283.35294,0.81089526,0.0,-0.82825726,4.1369996
2007-03-05,1270.7904,278.27054,282.90573,100431.49,432696.0,283.4225,0.7101695,5.3505104e-05,4.407267,4.7062907
2007-03-06,1142.5518,279.32852,281.393,99578.27,62797.332,282.39868,0.94493484,0.00036487976,2.495573,7.4854584
2007-03-07,595.712,277.92508,281.31393,99214.68,440266.66,281.90134,0.7713051,9.6360845e-06,1.6785196,0.99193066
2007-03-08,433.18393,277.39316,280.0079,101011.13,484005.34,280.79575,0.7758586,5.3246818e-06,2.0943348,-0.66126823
2007-03-09,585.287,277.78073,279.25412,101680.96,208517.33,280.563,0.6537323,0.00016538303,2.887616,-0.06504949
2007-03-10,342.55188,276.39102,279.6764,102581.22,608528.0,280.3669,0.11623637,0.0,1.8409506,-1.062203
2007-03-11,254.68561,277.18875,280.54565,102074.48,587893.3,280.9351,0.047051746,0.0,-0.8009052,-0.37968
2007-03-12,237.35193,275.73355,280.1182,101338.26,643797.3,280.8968,0.0,0.0,-0.7899621,0.7415714
2007-03-13,302.19687,277.70413,281.17313,101650.164,638800.0,281.08862,0.26010132,0.0,1.0312926,-1.5574499
2007-03-14,434.55026,277.4301,282.20856,102120.26,597037.3,281.7008,0.13117726,0.0,-1.0102329,-2.828001
2007-03-15,323.09634,276.1509,281.14987,101659.84,640557.3,281.10184,0.048217773,0.0,0.014149348,-1.9428552
2007-03-16,347.27197,277.17178,280.45804,101603.85,439994.66,279.97812,0.6701546,0.0,1.2651819,-1.4639918
2007-03-17,670.30896,280.1041,281.79877,101360.91,190426.67,282.47482,0.92945355,1.291434e-05,3.7193081,0.69811505
2007-03-18,1112.2543,278.14902,280.19028,99805.74,161546.67,281.21866,0.78929013,0.0001543959,5.9067435,1.6568775
2007-03-19,954.5728,273.87967,276.6802,98494.21,485178.66,276.3133,0.8825264,0.00016778708,3.8410351,-1.9560286
2007-03-20,834.2557,274.06088,275.67676,99336.77,504922.66,276.0554,0.6668434,0.00015385945,1.217329,-4.696144
2007-03-21,1041.538,273.81757,276.7766,100124.47,541754.7,276.9586,0.5828552,7.545948e-05,1.5373205,-5.437617
2007-03-22,905.6247,272.16095,277.35907,100391.51,364565.34,277.95853,0.8271713,0.0,2.3083274,-3.5486271
